station,riviere,b,f,DMEAN,CA_RHT,S_RHT,FR50,DMEAN_H50,L50_H50,Perm.,Ero.,x,y,Source,Q50,ID_RHT,ID_TGH,Q1,Q2,L1,L2,H1,H2,S_CARHYCE,DMEAN/H50,Lqb/Hqb,Ratio L,%RIFFLES,H50/sd profil,W_CARHYCE,Tclasse,sd profil,W50/WQb,Wspe,PatternAerial,Pattern_RMC
Lez_5,Lez,0.15078546,0.357575125,0.032814545,276,5.8,0.37044073,0.122695923,42.73222053,1.70978979,2.649149033,802103.1655,1930364.894,ESTIMHAB,1.834,14880,K2472,0.32,0.82,8.79,10.13,0.15,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Lez_6,Lez,0.165857982,0.181489728,0.043526379,9,9.1,0.060965895,0.387808286,47.15453887,2.840447454,1.160141301,806103.2196,1927651.342,ESTIMHAB,0.038,15005,,0.26,0.71,7.06,8.34,0.2,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Lez_7,Lez,0.108329473,0.229204121,0.042584647,396,3.6,0.307621008,0.122440911,33.79733609,1.809892063,2.44749041,798127.8975,1924114.95,ESTIMHAB,2.323,15224,K2182,0.27,1,8.99,10.36,0.2,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Lez_8,Lez,0.150428563,0.29455106,0.036309711,430,3.8,0.393170763,0.111351504,32.68652261,1.893228833,2.368744093,795820.4204,1923382.149,ESTIMHAB,2.444,15308,K2157,0.33,1.15,7.89,9.52,0.18,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Auliere_1,Auliere,0.065534278,0.20748607,0.011740492,12,7.2,0.138076345,0.060822545,11.01758848,2.005567287,1.995584565,805090.2225,1935501.952,ESTIMHAB,0.078,14630,,0.074,0.15,2.11,2.21,0.19,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Auliere_2,Auliere,0.065398912,0.661460942,0.062776526,35,6.7,0.249508505,0.317915071,15.95212296,2.388674033,1.621961326,803853.2213,1932298.558,ESTIMHAB,0.216,14774,,0.072,0.19,2.9,3.09,0.1,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Coronne_1,Coronne,0.098669749,0.113282753,0.033302049,58,10.2,0.4115051,0.214238412,28.91242981,1.56973545,2.570285714,809648.1081,1934314.948,ESTIMHAB,0.355,14626,K2890,0.03,0.15,3.37,3.95,0.1,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Coronne_2,Coronne,0.170272929,0.183436657,0.029565923,110,6.6,0.411424545,0.137530508,23.93843611,1.938762836,2.14261317,802947.9021,1931359.632,ESTIMHAB,0.661,14838,K2693,0.093,0.366,3.73,4.71,0.14,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Herin_1,Herin,0.11986151,0.318520064,0.026235913,38,10.1,0.393037346,0.225231602,31.04829857,1.343863352,2.657059949,807202.8883,1926064.616,ESTIMHAB,0.177,15096,,0.021,0.075,2.73,3.18,0.06,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Herin_2,Herin,0.089134827,0.361896164,0.041420455,70,7.1,0.336064147,0.208415721,17.21167044,2.064892624,1.936867055,802950.7053,1925014.95,ESTIMHAB,0.319,15209,,0.07,0.155,2.86,3.07,0.12,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
